score,factor,type,value,association,n
dass_fear,shiftwork,categorical,nein,-0.024969784868261957,197
dass_fear,working_hours_reduced,categorical,False,-0.3046139464488413,179
dass_fear,working_hours_reduced,categorical,True,0.7573041168658698,72
dass_fear,children,numeric,,0.17923749333139644,117
dass_fear,headache_days_per_month,numeric,,0.21640322164187245,251
dass_fear,headache_days_severe_per_month,numeric,,0.2705007403925899,251
dass_fear,days_medication,numeric,,0.06051576927681441,251
dass_fear,intensity,numeric,,0.17599169267906653,251
dass_fear,days_lost_work,numeric,,0.26274900666991063,251
dass_fear,days_lost_household,numeric,,0.34636511842571616,251
dass_fear,days_doctor,numeric,,0.18264223311121972,251
dass_fear,days_ER,binary,,0.014304065704700372,251
dass_fear,days_hospital,numeric,,0.13516793841595548,251
dass_stress,gender,categorical,männlich,-0.1414342629482075,28
dass_stress,gender,categorical,weiblich,-0.006299127813072403,222
dass_stress,birthyear,numeric,,-0.09543938411136897,251
dass_stress,weight,numeric,,0.08056552265630434,251
dass_stress,pregnant,categorical,nein,-0.02326298901641355,219
dass_stress,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.8791391809809941,122
dass_stress,highest_degree,categorical,Fachhochschulreife,1.8059341581044244,38
dass_stress,highest_degree,categorical,Hauptschulabschluss,-0.5081009296148737,15
dass_stress,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.6118990703851255,75
dass_stress,family_status,categorical,geschieden,-0.08971012501717279,29
dass_stress,family_status,categorical,ledig,-0.16775005242189156,95
dass_stress,family_status,categorical,verheiratet,-0.008100929614873742,120
dass_stress,current_employed,categorical,ja,-0.4747675962815405,210
dass_stress,current_employed,categorical,nein,2.4317364687591088,41
dass_stress,working_hours_model,categorical,Teilzeit,0.6090342679127723,107
dass_stress,working_hours_model,categorical,Vollzeit,-0.6326860841423949,103
dass_stress,shiftwork,categorical,ja,0.37179487179487136,13
dass_stress,shiftwork,categorical,nein,-0.02453468697123551,197
